Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Tac/Blvd TW,463.300000,split,468.300000,TSQL,186.2,186.2,023,NN,NFM,5.00,,Tacony & Boulevard,,,,
1,Bridsburg TW,463.725000,split,468.725000,TSQL,167.9,167.9,023,NN,NFM,5.00,,Bridsburg,,,,
2,Wissinom TW,461.450000,split,466.450000,TSQL,203.5,203.5,023,NN,FM,5.00,,Wissinoming,,,,
3,WFrankfrd TW,452.850000,split,457.850000,TSQL,71.9,71.9,023,NN,NFM,5.00,,West Frankford,,,,
4,Townwatch 1,461.475000,split,466.475000,,88.5,88.5,023,NN,NFM,5.00,,Citywide Townwatch Operations,,,,
5,Townwatch 2,461.975000,split,466.975000,,88.5,88.5,023,NN,NFM,5.00,,Citywide Townwatch Operations,,,,
6,Townwatch 3,463.725000,split,468.725000,,88.5,88.5,023,NN,NFM,5.00,,Citywide Townwatch Operations,,,,
7,Townwatch 4,464.850000,split,469.850000,,88.5,88.5,023,NN,NFM,5.00,,Citywide Townwatch Operations,,,,
8,PFD HASTE,47.540000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Hospital Alerting System Tone Encoded,,,,
9,PFD FG North,851.075000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,North Fireground,,,,
10,PFD FG South,851.712500,,0.600000,TSQL,186.2,186.2,023,NN,FM,5.00,,South Fireground,,,,
11,PFD FG N/S,852.225000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,North/South Fireground Secondary,,,,
12,PFD EMS I/O,166.250000,split,158.955000,,88.5,88.5,023,NN,P25,5.00,,EMS Inter-Agency Operations,,,,
13,PPD Tac-1,852.412500,,0.600000,,88.5,88.5,023,NN,P25,5.00,,Police Tac-1,,,,
14,PPD Tac-2,852.437500,,0.600000,,88.5,88.5,023,NN,P25,5.00,,Police Tac-2,,,,
15,PPD Explorer,154.570000,,0.600000,TSQL,67.0,67.0,023,NN,FM,5.00,,Police Explorers,,,,
16,Sanit/Health,453.775000,split,458.775000,TSQL,91.5,91.5,023,NN,FM,5.00,,Health Band - Sanitation Units and Health Dept.,,,,
17,Public Prop,453.725000,split,458.725000,TSQL,91.5,91.5,023,NN,FM,5.00,,Public Property Band,,,,
18,Streets,453.925000,split,458.925000,TSQL,91.5,91.5,023,NN,FM,5.00,,Streets Band,,,,
19,Sewage Plant,158.775000,,0.600000,TSQL,203.5,203.5,023,NN,FM,5.00,,Water Department - Sewage Treatment Plant Internal Ops,,,,
20,PHA Police,508.212500,split,511.212500,TSQL,141.3,141.3,023,NN,FM,5.00,,Housing Authority - Police Dispatch,,,,
21,PPA Parking,500.387500,split,503.387500,TSQL,79.7,79.7,023,NN,FM,5.00,,Parking Authority - Parking Enforcement/Boot Squad,,,,
22,PPA Inspectn,508.387500,split,511.387500,TSQL,79.7,79.7,023,NN,FM,5.00,,Parking Authority - Taxi/Limo Enforcement,,,,
23,PPA Tow,502.837500,split,505.837500,TSQL,79.7,79.7,023,NN,FM,5.00,,Parking Authority - Tow Squad/Impoundment,,,,
24,Prisons Trns,453.250000,split,458.250000,TSQL,91.5,91.5,023,NN,FM,5.00,,Prisons - Transportation,,,,
25,Prisons Mnt,453.400000,split,458.400000,TSQL,103.5,103.5,023,NN,FM,5.00,,Prisons - Maintenance,,,,
26,Prisons Ops,460.150000,split,465.150000,TSQL,91.5,91.5,023,NN,FM,5.00,,Prisons - Operations,,,,
27,Muni Tac 1,851.850000,,0.600000,,88.5,88.5,023,NN,P25,5.00,,City Municipal Tactical 1,,,,
28,Muni Tac 2,852.850000,,0.600000,,88.5,88.5,023,NN,P25,5.00,,City Municipal Tactical 2,,,,
29,Muni Tac 3,853.075000,,0.600000,,88.5,88.5,023,NN,P25,5.00,,City Municipal Tactical 3,,,,
30,Prop Tac 1,853.275000,,0.600000,,88.5,88.5,023,NN,P25,5.00,,Public Property Tac 1,,,,
31,Prop Tac 2,853.575000,,0.600000,,88.5,88.5,023,NN,P25,5.00,,Public Property Tac 2,,,,
32,Fam Crt Sec,158.775000,split,153.875000,TSQL,146.2,146.2,023,NN,FM,5.00,,Family Court Security,,,,
33,Library Ops,453.350000,split,458.350000,TSQL,136.5,136.5,023,NN,FM,5.00,,Free Library of Philadelphia Maintenance and Security,,,,
34,Citywide 1,860.737500,split,815.737500,,88.5,88.5,023,NN,FM,5.00,,Citywide 1,,,,
35,Citywide 2,859.737500,split,814.737500,,88.5,88.5,023,NN,FM,5.00,,Citywide 2,,,,
36,Citywide 3,858.737500,split,813.737500,,88.5,88.5,023,NN,FM,5.00,,Citywide 3,,,,
37,Citywide 4,857.737500,split,812.737500,,88.5,88.5,023,NN,FM,5.00,,Citywide 4,,,,
38,PSD ALT Rpt.,855.787500,split,810.787500,DTCS,88.5,88.5,734,NN,FM,5.00,,Alternate School Bus Repeater (Backup),,,,
39,PSD BRD Rpt.,860.912500,split,815.912500,DTCS,88.5,88.5,734,NN,FM,5.00,,Broad Street Base School Bus Repeater,,,,
40,PSD WID Rpt.,860.812500,split,815.812500,DTCS,88.5,88.5,734,NN,FM,5.00,,Widener Base School Bus Repeater,,,,
41,PSD SHC Rpt.,859.812500,split,814.812500,DTCS,88.5,88.5,734,NN,FM,5.00,,Shallcross Base School Bus Repeater,,,,
42,PSD PAS Rpt.,858.837500,split,813.837500,DTCS,88.5,88.5,734,NN,FM,5.00,,Passyunk Base School Bus Repeater,,,,
43,SEPTA MFL,502.787500,split,505.787500,,88.5,88.5,023,NN,FM,5.00,,City Transit Division - Market-Frankford Line Elevated Dispatch (Blue Line),,,,
44,SEPTA BSL,502.762500,split,505.762500,,88.5,88.5,023,NN,FM,5.00,,City Transit Division - Broad Street Line Subway Dispatch (Orange Line),,,,
45,SEPTA Police,502.687500,split,505.687500,,88.5,88.5,023,NN,FM,5.00,,Transit Police Dispatch (rebroadcasts PPD J Band),,,,
46,1234 Market,464.425000,split,469.425000,,88.5,88.5,023,NN,NFM,5.00,,1234 Market St Security,,,,
47,SEPTA MFL YD,504.137500,,0.600000,TSQL,131.8,131.8,023,NN,FM,5.00,,City Transit Division - Market-Frankford Line Yard Ops,,,,
48,SEPTA MOW,502.737500,split,505.737500,,88.5,88.5,023,NN,FM,5.00,,City Transit Division - Market-Frankford and Broad Street Line Maintenance,,,,
49,W3QV,147.030000,split,147.630000,TSQL,91.5,91.5,023,NN,FM,5.00,,Phil-Mont Mobile Radio Club (Roxborough),,,,
50,WM3PEN,146.685000,split,146.085000,TSQL,146.2,146.2,023,NN,FM,5.00,,Holmesburg Amateur Radio Club (Center-City),,,,
51,W3PVI/R,145.270000,split,144.670000,TSQL,131.8,131.8,023,NN,FM,5.00,,WPVI Channel 6 Amateur Radio Club (Roxborough),,,,
52,W3QV/R,444.800000,split,449.800000,TSQL,186.2,186.2,023,NN,FM,5.00,,Phil-Mont Mobile Radio Club (Roxborough),,,,
53,WB0CPR/R,449.775000,split,444.775000,TSQL,141.3,141.3,023,NN,FM,5.00,,General Use Repeater (Frankford),,,,
54,W3WAN/R,441.700000,split,446.700000,TSQL,74.4,74.4,023,NN,FM,5.00,,"Wide-Area ""AllStar"" Linked Repeater (Center-City)",,,,
55,W3SBE/R,442.550000,split,447.550000,TSQL,91.5,91.5,023,NN,FM,5.00,,Philadelphia Broadcast Engineers Amateur Radio Club (Roxborough),,,,
57,K3TU/R,224.800000,split,223.200000,,88.5,88.5,023,NN,FM,5.00,,Temple University Amateur Radio Club (North Philadelphia),,,,
58,W3SBE/R,927.887500,split,915.887500,TSQL,91.5,91.5,023,NN,NFM,5.00,,Philadelphia Broadcast Engineers Amateur Radio Club (Roxborough),,,,
59,UPenn PD 1,506.987500,split,509.987500,TSQL,203.5,203.5,023,NN,NFM,5.00,,Police Primary (old analog dispatch),,,,
60,UPenn PD 2,508.912500,split,511.912500,TSQL,203.5,203.5,023,NN,NFM,5.00,,Police Secondary (Special Events / Operations),,,,
61,UPenn Sec.,461.475000,split,466.475000,DTCS,88.5,88.5,143,NN,NFM,5.00,,Escorts and Security Operations,,,,
62,UPenn PD 3,507.262500,split,510.262500,,88.5,88.5,023,NN,NFM,5.00,,Police Tertiary,,,,
63,UPenn MERT 2,462.000000,split,467.000000,,88.5,88.5,023,NN,NFM,5.00,,Medical Emergency Medical Response Team (M.E.R.T.) - Secondary,,,,
64,UPenn MERT 1,464.362500,split,469.362500,DTCS,88.5,88.5,143,NN,NFM,5.00,,Medical Emergency Response Team (M.E.R.T.) - Primary,,,,
65,U.C.D. Ops,451.887500,split,456.887500,DTCS,88.5,88.5,723,NN,NFM,5.00,,University City District - Escorts / Security,,,,
69,Temple U Maint,464.700000,split,469.700000,DTCS,88.5,88.5,506,NN,NFM,5.00,,Maintenance and Operations,,,,
72,St. Joe U 2,463.300000,split,468.300000,,88.5,88.5,023,NN,NFM,5.00,,Unknown Operations,,,,
73,St. Joe U 3,463.625000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Unknown Operations,,,,
74,St. Joe U 4,467.925000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Unknown Operations (Low Power),,,,
75,St. Joe U 5,468.612500,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Unknown Operations (Low Power),,,,
76,PhilaU Mntc,461.637500,split,466.637500,DTCS,88.5,88.5,306,NN,NFM,5.00,,Maintenance Operations,,,,
81,FoodSvc Mgmt,457.800000,,0.600000,DTCS,88.5,88.5,506,NN,NFM,5.00,,Ch 4 - Aramark Food Service Management,,,,
94,Scoreboard,151.895000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Scoreboard,,,,
95,Sportsnet,466.712500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Comcast Sportsnet,,,,
97,Beer Cooler,456.900000,,0.600000,DTCS,88.5,88.5,506,NN,FM,5.00,,Aramark Beer Cooler / Supply,,,,
98,Command Ctr,452.012500,split,457.012500,DTCS,88.5,88.5,311,NN,FM,5.00,,Ch 1 - Command Center,,,,
99,Housekeeping,461.125000,split,466.125000,DTCS,88.5,88.5,172,NN,FM,5.00,,Ch 2 - Housekeeping,,,,
