Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
47.540000,0.00000,WZM898,Fire Department,Hospital Alerting System Tone Encoded,PFD HASTE,CSQ,FM,BM,EMS-Tac
72.800000,0.00000,,Sports StadiumsArenas Wells Fargo Center,HearingAssist Transmitters,Hearing Aids,,FM,B,Business
118.350000,0.00000,,Philadelphia Intl Airport Air Traffic Control,SW DuPont area,SW DuPont,CSQ,AM,BM,Aircraft
118.500000,0.00000,,Philadelphia Intl Airport Air Traffic Control,Tower 1,Tower 1,CSQ,AM,BM,Aircraft
118.850000,0.00000,,Philadelphia Intl Airport Air Traffic Control,Clearance Delivery,Clear/Deliv,CSQ,AM,BM,Aircraft
119.750000,0.00000,,Philadelphia Intl Airport Air Traffic Control,South Departure,S Departure,CSQ,AM,BM,Aircraft
120.425000,0.00000,,Philadelphia Intl Airport Air Traffic Control,ILS 27L,ILS 27L,CSQ,AM,BM,Aircraft
121.500000,0.00000,,Philadelphia Intl Airport Air Traffic Control,Emergency,Emergency,CSQ,AM,BM,Aircraft
121.650000,0.00000,,Philadelphia Intl Airport Air Traffic Control,Ground Control 2  Taxi,Grnd Cntrl 2,CSQ,AM,BM,Aircraft
121.700000,0.00000,,Philadelphia Intl Airport Air Traffic Control,Ground Control,Ground Cntrl,CSQ,AM,BM,Aircraft
121.900000,0.00000,,Philadelphia Intl Airport Air Traffic Control,Ground Control 1,Grnd Cntrl 1,CSQ,AM,BM,Aircraft
122.900000,0.00000,,Philadelphia Intl Airport Air Traffic Control,CTAF,CTAF,CSQ,AM,BM,Aircraft
122.950000,0.00000,,Philadelphia Intl Airport Air Traffic Control,Unicom,Unicom,CSQ,AM,BM,Aircraft
123.800000,0.00000,,Philadelphia Intl Airport Air Traffic Control,NE Yardley area,NE Yardley,CSQ,AM,BM,Aircraft
124.350000,0.00000,,Philadelphia Intl Airport Air Traffic Control,North Departure,N Departure,CSQ,AM,BM,Aircraft
125.125000,0.00000,,Philadelphia Intl Airport Air Traffic Control,South High,South High,CSQ,AM,BM,Aircraft
125.400000,0.00000,,Philadelphia Intl Airport Air Traffic Control,Final Approach,Final App,CSQ,AM,BM,Aircraft
126.075000,0.00000,,Philadelphia Intl Airport Air Traffic Control,North High,North High,CSQ,AM,BM,Aircraft
126.850000,0.00000,,Philadelphia Intl Airport Air Traffic Control,NW Pottstown area,NW Pottstown,CSQ,AM,BM,Aircraft
126.900000,0.00000,,Philadelphia Intl Airport Air Traffic Control,Local Control,KPNE Tower,CSQ,AM,BM,Aircraft
127.250000,0.00000,,Philadelphia Intl Airport Air Traffic Control,Clearence Delivery,Clear/Deliv,CSQ,AM,BM,Aircraft
127.350000,0.00000,,Philadelphia Intl Airport Air Traffic Control,ApproachDeparture Woodstown area,A/D Woodstwn,CSQ,AM,BM,Aircraft
128.400000,0.00000,,Philadelphia Intl Airport Air Traffic Control,North Arrival,N Arrival,CSQ,AM,BM,Aircraft
128.400000,0.00000,,Philadelphia Intl Airport Air Traffic Control,NNEW 279,N/NE/W 27/9,CSQ,AM,BM,Aircraft
128.825000,0.00000,,Philadelphia Intl Airport Airline Company Channels,US Airways,US Airways,CSQ,AM,BM,Aircraft
128.850000,0.00000,,Philadelphia Intl Airport Airline Company Channels,LGA Cit AA,LGA Cit/AA,CSQ,AM,BM,Aircraft
129.000000,0.00000,,Philadelphia Intl Airport Airline Company Channels,Signature Flight Support,Signature FS,CSQ,AM,BM,Aircraft
129.175000,0.00000,,Philadelphia Intl Airport Airline Company Channels,US Airways Express ,US Air Expr,CSQ,AM,BM,Aircraft
129.200000,0.00000,,Philadelphia Intl Airport Airline Company Channels,American Operations,American Air,CSQ,AM,BM,Aircraft
129.300000,0.00000,,Philadelphia Intl Airport Airline Company Channels,Mesa,Mesa,CSQ,AM,BM,Aircraft
