Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
72.80000,0.00000,,Sports StadiumsArenas Wells Fargo Center,HearingAssist Transmitters,Hearing Aids,,FM,B,Business
151.89500,0.00000,,Sports StadiumsArenas Citizens Bank Park,Scoreboard,Scoreboard,,FM,M,Business
154.57000,0.00000,,Sports StadiumsArenas Wells Fargo Center,Wireless Headsets for Game Operations,Wireless,,FM,M,Business
177.80000,0.00000,,Sports StadiumsArenas Wells Fargo Center,Wireless Headsets for Game Operations,Wireless,,FM,M,Deprecated
183.73000,0.00000,,Sports StadiumsArenas Wells Fargo Center,Wireless Headsets for Game Operations,Wireless,,FM,M,Deprecated
451.36250,456.36250,WQDL307,Sports StadiumsArenas Wells Fargo Center,Information Technology Department,IT Dept,,DMR,RM,Business
451.66250,456.66250,,Sports StadiumsArenas Wells Fargo Center,Arenavision techs F2,AV Techs 2,,DMR,RM,Business
452.01250,457.01250,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 1  Command Center,Command Ctr,311 DPL,FM,RM,Business
452.17500,0.00000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 11  Media relationsPublic Relations,Public Relat,,FM,M,Business
452.78750,457.78750,WQDL307,Sports StadiumsArenas Wells Fargo Center,Parking Ch 1,Parking 1,,Telm,RM,Business
456.90000,0.00000,WQGP939,Sports StadiumsArenas Citizens Bank Park,Aramark Beer Cooler  Supply,Beer Cooler,506 DPL,FM,M,Business
456.97500,0.00000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 3  Medical,Medical,,DMR,M,EMS-Talk
457.17500,0.00000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 12  Corporate sales,Corp Sales,,FM,M,Business
457.80000,0.00000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 4  Aramark Food Service Management,FoodSvc Mgmt,506 DPL,FMN,M,Business
461.05000,466.05000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 5  Global Spectrum Slot 1 Group 14,GlobalSpctrm,CC 1|TG *|SL *,DMR,RM,Business
461.07500,0.00000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 9  Scoreboard,Scoreboard,,FM,M,Business
461.12500,466.12500,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 2  Housekeeping,Housekeeping,172 DPL,FM,RM,Business
461.13750,0.00000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Security Ch 4  Auxiliary,Security 4,,FM,M,Security
461.17500,466.17500,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 6  ARA Custodians Slot 1 Group 15,Custodial,CC 1|TG *|SL *,DMR,RM,Business
461.20000,466.20000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 17  Aramark Food Service,Food Service,146.2 PL,FM,RM,Business
461.23750,0.00000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Security Ch 1  Simplex,Security 1,,FM,M,Security
461.38750,0.00000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Security Ch 2  Command Post Simplex,Security 2,,FM,M,Security
461.38750,466.38750,,Sports StadiumsArenas Wells Fargo Center,Aramark Food Service,Food Service,,DMR,RM,Business
461.42500,0.00000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 7  Promo  Entertainment,Entertainmnt,,DMR,M,Business
461.51250,0.00000,WPKF287,Sports StadiumsArenas Wells Fargo Center,Aramark Food Service  Suite Level,Food Service,,DMR,BM,Business
461.60000,467.60000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 16  Emergency Repeater,Emergency,,DMR,RM,Business
461.75000,466.75000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 6  Premium Services,Premium Svcs,351 DPL,FM,RM,Business
461.80000,466.80000,WPYC747,Sports StadiumsArenas Lincoln Financial Field,Ch 3  Event Staff,Event Staff,654 DPL,FM,RM,Business
461.85000,466.85000,WQGL616,Sports StadiumsArenas Citizens Bank Park,Ch 1  Park Operations  Public Security Slot 1 Group 11,Park Ops/Sec,CC 1|TG *|SL *,DMR,RM,Security
462.01250,0.00000,WPKF287,Sports StadiumsArenas Wells Fargo Center,Extra 1  76ers Game Operations,76er GameOps,,DMR,BM,Business
